Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
"A Fate of Wrath & Flame (Fate & Flame, #1)",K.A. Tucker,0,,,,,0,547
"The Alchemists of Loom (Loom Saga, #1)",Elise Kova,0,Hardcover,,,,0,395
"To Bleed a Crystal Bloom (Crystal Bloom, #1)",Sarah A. Parker,0,,,,,0,488
The Kite Runner,Khaled Hosseini,0,Paperback,,,,0,371
"The Diabolic (The Diabolic, #1)",S.J. Kincaid,0,,,,,0,416
Kokoro,Natsume Sōseki,0,Paperback,,,,0,256
"A Court of Honey and Ash (Honey and Ice, #1)",Shannon Mayer,0,,,,,0,420
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,0,,,,,0,456
"Nyxia (The Nyxia Triad, #1)",Scott Reintgen,0,,,,,0,384
"Ascension (Phobos, #1)",Victor Dixen,0,Paperback,,,,0,496
"The Revolution of Ivy (The Book of Ivy, #2)",Amy Engel,3,ebook,"August 11, 2021",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,290
"The Other Side of the Sky (The Other Side of the Sky, #1)",Amie Kaufman,0,,,,,0,432
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,0,Hardcover,,,,0,391
The Lies We Tell,Katie Zhao,0,Hardcover,,,,0,352
"Echoes and Empires (Echoes and Empires, #1)",Morgan Rhodes,0,Hardcover,,,,0,400
"The Pirate's Wish (The Assassin's Curse, #2)",Cassandra Rose Clarke,3,ebook,"July 25, 2021",read,"YA, fantasy, fiction, romance",1,330
"The Assassin's Curse (The Assassin's Curse, #1)",Cassandra Rose Clarke,3,ebook,"July 24, 2021",read,"YA, fantasy, fiction, romance",1,298
"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,4,Paperback,"July 21, 2021",read,"Adult, contemporary, fiction, romance",1,487
"On These Black Sands (Aisling Sea, #1)",Vanessa Rasanen,0,Paperback,,,,0,436
"Song of the Forever Rains (Mousai, #1)",E.J. Mellow,0,,,,,0,423
The Invisible Life of Addie LaRue,Victoria E. Schwab,3,ebook,"July 10, 2021",read,"Adult, contemporary, fantasy, fiction, historical, romance",1,448
"Paladin (Paladin, #1)",Sally Slater,0,,,,,0,341
The Scorpio Races,Maggie Stiefvater,0,Hardcover,,,,0,409
"Spellbreaker (Spellbreaker Duology, #1)",Charlie N. Holmberg,3,ebook,"July 6, 2021",read,"YA, fantasy, fiction, historical, mystery, romance",1,305
"Everless (Everless, #1)",Sara  Holland,0,Hardcover,,,,0,362
Descendant of the Crane,Joan He,0,Hardcover,,,,0,416
"The Boy with Fire (The Ravence Trilogy, #1)",Aparna Verma,0,Paperback,,,,0,436
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4,ebook,"July 1, 2021",read,"YA, dystopia, fantasy, fiction, romance",1,288
"Reign the Earth (The Elementae, #1)",A.C. Gaughen,0,Hardcover,,,,0,438
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,0,Hardcover,,,,0,541
"This Savage Song (Monsters of Verity, #1)",Victoria E. Schwab,0,,,,,0,469
Once upon a Silent Song: A Little Mermaid Retelling (Once upon a Story),A.R. Summers,0,,,,,0,134
"Ember of Night (Ember of Night, #1)",Molly E. Lee,0,Hardcover,,,,0,400
"The Tiger at Midnight (The Tiger at Midnight Trilogy, #1)",Swati Teerdhala,0,Hardcover,,,,0,487
"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan,0,,,,,0,448
"We Free the Stars (Sands of Arawiya, #2)",Hafsah Faizal,4,ebook,"May 1, 2021",read,"YA, fantasy, fiction, romance",1,592
"Song of the Current (Song of the Current, #1)",Sarah Tolcser,0,Hardcover,,,,0,373
"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,0,Hardcover,,,,0,394
"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,4,ebook,"March 28, 2021",read,"YA, fantasy, fiction, mystery, romance",1,372
"Blood Like Magic (Blood Like Magic, #1)",Liselle Sambury,0,Hardcover,,,,0,496
"Rise of the Red Hand (The Mechanists, #1)",Olivia Chadha,0,,,,,0,0
The Girl from Shadow Springs,Ellie Cypher,0,Hardcover,,,,0,320
Manacled,SenLinYu,5,ebook,"July 19, 2025 → August 10, 2025",read,"dark, fantasy, fiction, romance",2,925
"The Scarlet Alchemist (The Scarlet Alchemist, #1)",Kylie Lee Baker,3,ebook,"January 12, 2025 → January 20, 2025",read,"YA, fantasy, fiction, historical, romance",1,432
A Thousand Splendid Suns,Khaled Hosseini,0,,,,,0,372
"Quicksilver (Fae & Alchemy, #1)",Callie Hart,3,ebook,"January 27, 2025 → February 2, 2025",read,"Adult, fantasy, fiction, romance",1,624
Alchemy of Secrets,Stephanie Garber,0,,,,,0,352
Alchemised,SenLinYu,5,Hardcover,"October 1, 2025 → November 2, 2025","read, ♡","Adult, dark, fantasy, fiction, romance",1,1040
"The Sentinel Mage (The Cursed Kingdoms, #1)",Emily Gee,2,ebook,"April 10, 2021",read,"YA, fantasy, fiction, romance",1,509
Jade Fire Gold,June C.L. Tan,0,Hardcover,,,,0,464
"Lakesedge (World at the Lake's Edge, #1)",Lyndall Clipstone,0,Hardcover,,,,0,384
"The Keeper of Night (The Keeper of Night, #1)",Kylie Lee Baker,0,Hardcover,,,,0,393
A Dragonbird in the Fern,Laura Rueckert,0,Paperback,,,,0,392
The Mark of Fallen Flame (Weapon of Fire and Ash #1),Brittany Matsen,0,Paperback,,,,0,374
"All the Tides of Fate (All the Stars and Teeth, #2)",Adalyn  Grace,2,ebook,"March 30, 2021",read,"YA, fantasy, fiction, romance",1,368
The Night Circus,Erin Morgenstern,0,Hardcover,,,,0,506
"Legendborn (The Legendborn Cycle, #1)",Tracy Deonn,4,ebook,"March 14, 2021",read,"YA, fantasy, fiction, romance",1,502
"The Mermaid, the Witch, and the Sea (The Mermaid, the Witch, and the Sea, #1)",Maggie Tokuda-Hall,0,Hardcover,,,,0,360
"Blazewrath Games (Blazewrath Games, #1)",Amparo Ortiz,0,Hardcover,,,,0,368
"Kingdom of Exiles (The Beast Charmer, #1)",Maxym M. Martineau,0,,,,,0,438
A Kingdom of Exiles (Outcast #1),S.B. Nova,0,,,,,0,600
"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,0,Hardcover,,,,0,880
"Shadow Frost (Shadow Frost, #1)",Coco Ma,0,Hardcover,,,,0,400
"Foul Lady Fortune (Foul Lady Fortune, #1)",Chloe Gong,0,,,,,0,528
"The Mask of Mirrors (Rook & Rose, #1)",M.A. Carrick,0,Paperback,,,,0,630
"The Descent of the Drowned (The Descent of the Drowned, #1)",Ana Lal Din,0,Hardcover,,,,0,360
We Are the Fire,Sam        Taylor,0,Hardcover,,,,0,416
"Bully (Fall Away, #1)",Penelope Douglas,3,ebook,"February 16, 2021",read,"Adult, contemporary, dark, fiction, romance",1,333
The Hunted,Bethany-Kris,0,,,,,0,299
"A Trial of Sorcerers (A Trial of Sorcerers, #1)",Elise Kova,0,Hardcover,,,,0,364
Into the Heartless Wood,Joanna Ruth Meyer,0,Hardcover,,,,0,368
Lore,Alexandra Bracken,0,Hardcover,,,,0,480
"Crown of Bones (Amassia, #1)",A.K. Wilder,0,Hardcover,,,,0,400
The Lost Clan Trilogy,Olivia Wildenstein,0,,,,,0,1066
"Red Rising (Red Rising Saga, #1)",Pierce Brown,0,Hardcover,,,,0,382
"Sempre (Sempre, #1)",J.M. Darhower,4,ebook,"February 6, 2021",read,"Adult, contemporary, crime, dark, fiction, romance",1,518
The Devil Makes Three,Tori Bovalino,0,Hardcover,,,,0,368
Blood and Chocolate,Annette Curtis Klause,0,,,,,0,288
To Best the Boys,Mary  Weber,0,Hardcover,,,,0,314
"The Shadow Queen (Ravenspire, #1)",C.J. Redwine,0,Hardcover,,,,0,390
"The Winner's Kiss (The Winner's Trilogy, #3)",Marie Rutkoski,4,ebook,"December 17, 2020",read,"YA, dystopia, fiction, historical, romance",1,486
"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,4,ebook,"December 16, 2020",read,"YA, dystopia, fantasy, fiction, historical, romance",1,416
"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,3,ebook,"December 15, 2020",read,"YA, dystopia, fantasy, fiction, historical, romance",1,355
"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,4,ebook,"July 8, 2020",read,"YA, fantasy, fiction, romance",1,326
"The Flame of Olympus  (Pegasus, #1)",Kate O'Hearn,0,Paperback,,,,0,385
"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,4,ebook,"December 12, 2020",read,"YA, fantasy, fiction, romance",1,472
"Forest of a Thousand Lanterns (Rise of the Empress, #1)",Julie C. Dao,0,Hardcover,,,,0,363
"A Shifting of Stars (Of Stars, #1)",Kathy Kimbray,0,ebook,,,,0,450
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,0,,,,,0,752
"Bring Me Their Hearts (Bring Me Their Hearts, #1)",Sara Wolf,0,Hardcover,,,,0,370
"The Cup and The Prince (Kingdom of Curses and Shadows, #1)",Day Leitao,0,Paperback,,,,0,256
Atonement,Ian McEwan,0,Paperback,,,,0,351
"Shielded (Shielded, #1)",KayLynn Flanders,0,,,,,0,432
"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,0,,,,,0,446
"Poison Study (Study, #1)",Maria V. Snyder,0,Paperback,,,,0,427
"Blood & Honey (Serpent & Dove, #2)",Shelby Mahurin,4,ebook,"September 8, 2020",read,"YA, fantasy, fiction, romance",1,536
"Iridescent Fury (Iridescent Fury, #1)",Zachary  James,0,Hardcover,,,,0,504
An Affair of Poisons,Addie Thorley,0,Hardcover,,,,0,391
Feathered: A Young Adult Fantasy Fairy Tale (Swan Maiden Book 1),Rachel Wollaston,0,,,,,0,368
"Scavenge the Stars (Scavenge the Stars, #1)",Tara Sim,0,Hardcover,,,,0,327
Siren's Stone (The Cursed Seas Collection),Miranda Hardy,0,,,,,0,277
"The Cursed Sea (The Glass Spare, #2)",Lauren DeStefano,0,,,,,0,397
"Storm and Fury (The Harbinger, #1)",Jennifer L. Armentrout,3,ebook,"August 23, 2020",read,"YA, fantasy, fiction, romance",1,512
"Ace of Shades (The Shadow Game, #1)",Amanda Foody,0,Hardcover,,,,0,411
"Assassin's Heart (Assassin's Heart, #1)",Sarah Ahiers,0,Hardcover,,,,0,420
Cruel Beauty,Rosamund Hodge,0,Hardcover,,,,0,346
Circe,Madeline Miller,0,Hardcover,,,,0,393
"Fable (The World of the Narrows, #1)",Adrienne Young,0,Hardcover,,,,0,357
"Isle of Blood and Stone (Tower of Winds, #1)",Makiia Lucier,0,,,,,0,400
"Kingdom of the Blazing Phoenix (Rise of the Empress, #2)",Julie C. Dao,0,ebook,,,,0,384
"The Glass Spare (The Glass Spare, #1)",Lauren DeStefano,0,Hardcover,,,,0,402
"Nocturna (A Forgery of Magic, #1)",Maya Motayne,0,Hardcover,,,,0,480
"Dark of the West (Glass Alliance, #1)",Joanna Hathaway,0,Hardcover,,,,0,480
King of the Dark (The Prince's Assassin #1),Ariana Nash,0,,,,,0,354
"Sky Without Stars (System Divine, #1)",Jessica Brody,0,Hardcover,,,,0,582
The Bird and the Blade,Megan Bannen,0,Hardcover,,,,0,416
The Lady Rogue,Jenn Bennett,0,Hardcover,,,,0,372
"Life After Legend (Legend, #3.5)",Marie Lu,5,ebook,,read,"YA, contemporary, dystopia, fantasy, fiction, romance, science fiction",1,21
"Insurgent (Divergent, #2)",Veronica Roth,2,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,525
"Allegiant (Divergent, #3)",Veronica Roth,2,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,531
Traitor's Masque (Andari Chronicles #1),Kenley Davidson,3,ebook,"January 1, 2020",read,"YA, fantasy, fiction, romance",1,410
"Broken Prince (The Royals, #2)",Erin Watt,4,ebook,"May 10, 2020",read,"Adult, contemporary, fiction, romance",1,370
"Twisted Palace (The Royals, #3)",Erin Watt,4,ebook,"May 11, 2020",read,"Adult, contemporary, fiction, romance",1,370
"Halo (Halo, #1)",Alexandra Adornetto,2,ebook,"June 12, 2020",read,"YA, fantasy, fiction, romance",1,485
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,5,ebook,"June 27, 2020",read,"Adult, fantasy, fiction, romance",1,622
So This is Love,Elizabeth Lim,3,ebook,"July 29, 2020",read,"YA, fantasy, fiction, romance",1,416
"These Rebel Waves (Stream Raiders, #1)",Sara Raasch,0,Hardcover,,,,0,474
"A Throne of Swans (A Throne of Swans, #1)",Katharine Corr,0,Paperback,,,,0,352
"The First Girl Child (The Chronicles of Saylok, #1)",Amy Harmon,0,,,,,0,391
"Goddess in the Machine (Goddess in the Machine, #1)",Lora Beth Johnson,3,ebook,"August 1, 2020",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,400
"Shadow of the Fox (Shadow of the Fox, #1)",Julie Kagawa,0,ebook,,,,0,454
"The Prince's Chosen (The Fount, #1)",Stephanie Fazio,0,Paperback,,,,0,347
"Reboot (Reboot, #1)",Amy Tintera,0,Hardcover,,,,0,365
"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,0,Hardcover,,,,0,532
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,0,Hardcover,,,,0,803
"Seafire (Seafire, #1)",Natalie C. Parker,0,Hardcover,,,,0,374
"Sea Witch (Sea Witch, #1)",Sarah Henning,0,Hardcover,,,,0,368
"Vortex Visions (Air Awakens: Vortex Chronicles, #1)",Elise Kova,0,Paperback,,,,0,374
"Crystal Crowned (Air Awakens, #5)",Elise Kova,5,ebook,"July 17, 2020",read,"YA, fantasy, fiction, romance",1,400
"Heart of Mist (The Oremere Chronicles, #1)",Helen Scheuerer,0,ebook,,,,0,487
"Water's Wrath (Air Awakens, #4)",Elise Kova,5,ebook,"July 6, 2020",read,"YA, fantasy, fiction, romance",1,378
"Earth's End (Air Awakens, #3)",Elise Kova,5,ebook,"July 5, 2020",read,"YA, fantasy, fiction, romance",1,350
Heartless,Marissa Meyer,0,Hardcover,,,,0,453
"Flames of Chaos (Legacy of the Nine Realms, #1)",Amelia Hutchins,0,ebook,,,,0,563
"The Traitor's Kiss (The Traitor's Circle, #1)",Erin Beaty,3,ebook,"June 20, 2020",read,"YA, fantasy, fiction, historical, romance",1,351
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4,ebook,"June 17, 2020",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,480
"Talon (Talon, #1)",Julie Kagawa,0,Hardcover,,,,0,449
"Forest of Souls (Shamanborn, #1)",Lori M. Lee,0,Hardcover,,,,0,400
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,3,ebook,"May 14, 2019",read,"Adult, contemporary, fiction, romance",1,378
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,4,ebook,"June 14, 2020",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,338
The Winter Duke,Claire Eliza Bartlett,0,Hardcover,,,,0,432
"A Darker Shade of Magic (Shades of Magic, #1)",Victoria E. Schwab,0,Hardcover,,,,0,400
"The Crown's Game (The Crown's Game, #1)",Evelyn Skye,0,Hardcover,,,,0,407
"Frostblood (Frostblood Saga, #1)",Elly Blake,0,Hardcover,,,,0,376
"Set Fire to the Gods (Set Fire to the Gods, #1)",Sara Raasch,0,Hardcover,,,,0,432
"House of Dragons (House of Dragons, #1)",Jessica Cluess,0,Hardcover,,,,0,448
"Obsidio (The Illuminae Files, #3)",Amie Kaufman,4,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",2,618
"Rebel (Legend, #4)",Marie Lu,3.5,Paperback,"May 7, 2020",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,376
milk and honey,Rupi Kaur,3,ebook,"October 8, 2019",read,"Adult, contemporary, nonfiction, poetry, romance",1,204
"Allied (Ruined, #3)",Amy Tintera,4,ebook,"September 22, 2019",read,"YA, fantasy, fiction, romance",1,416
"House of Salt and Sorrows (Sisters of the Salt, #1)",Erin A. Craig,0,Hardcover,,,,0,403
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4,ebook,,read,"YA, classics, fiction, historical",1,243
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,5,ebook,,read,"YA, classics, fiction, historical",1,276
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,5,ebook,"July 18, 2018",read,"YA, classics, fiction, historical",1,320
"The Rose Society (The Young Elites, #2)",Marie Lu,5,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,398
"Life Before Legend (Legend, #0.5)",Marie Lu,5,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,44
"Ivory and Bone (Ivory and Bone, #1)",Julie Eshbaugh,0,Hardcover,,,,0,371
"The Midnight Star (The Young Elites, #3)",Marie Lu,5,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,316
To Kill a Mockingbird,Harper Lee,4,ebook,,read,"YA, fiction, historical, literary fiction",1,323
"King's Cage (Red Queen, #3)",Victoria Aveyard,4,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,0
"Glass Sword (Red Queen, #2)",Victoria Aveyard,4,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,444
"The Queen (The Selection, #0.4)",Kiera Cass,5,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,72
"The Crown (The Selection, #5)",Kiera Cass,2.5,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,278
"The Heir (The Selection, #4)",Kiera Cass,2.5,ebook,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,342
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,5,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,827
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,5,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,552
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,5,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,454
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,5,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,390
Mission: Her Protection,Anna Hackett,2,ebook,"February 25, 2025 → February 26, 2025",read,"Adult, contemporary, fiction, mystery, romance",1,203
Mission: Her Rescue,Anna Hackett,2.5,ebook,"February 26, 2025 → February 28, 2025",read,"Adult, contemporary, fiction, mystery, romance",1,284
The Iliad,"Homer, Emily Wilson (Translator)",,Hardcover,"March 3, 2025",currently-reading,"classics, fantasy, fiction, historical, mythology, poetry",0,848
Wings so Wicked,Emily Blackwood,2,ebook,"March 8, 2025 → March 11, 2025",read,"Adult, fantasy, fiction, romance",1,381
Black Knight,Rina Kent,2,ebook,"March 29, 2025 → March 30, 2025",,"Adult, contemporary, dark, fiction, romance",1,326
Sword Catcher,Cassandra Clare,3.5,ebook,"March 13, 2025 → March 21, 2025",,"YA, fantasy, fiction, romance",1,624
The Ragpicker King,Cassandra Clare,5,ebook,"April 2, 2025 → April 8, 2025","read, ♡","YA, fantasy, fiction, romance",1,480
"Fearless (Powerless Trilogy, #3)",Lauren Roberts,3,ebook,"April 8, 2025 → April 13, 2025",read,"YA, fantasy, fiction, romance",1,608
Seven Sleepless Nights,Chloe Walsh,3,ebook,"April 26, 2025",read,"Adult, contemporary, fiction, romance, sports",1,272
Days at the Morisaki Bookshop,"Satoshi Yagisawa, Eric Ozawa (Translator)",3.5,ebook,"May 1, 2025 → May 3, 2025",read,"contemporary, fiction, literary fiction, romance",1,150
On Wings of Blood (Bloodwing Academy #1),Briar Boleyn,3,ebook,"May 3, 2025 → May 9, 2025",read,"Adult, fantasy, fiction, romance",1,523
Silver Elite,Dani Francis,2,ebook,"May 9, 2025 → May 13, 2025",read,"Adult, fantasy, fiction, romance, science fiction",1,528
The Bond that Burns (Bloodwing Academy #2),Briar Boleyn,3,ebook,"May 13, 2025 → May 18, 2025",read,"Adult, fantasy, fiction, romance",1,395
Releasing 10 (Boys of Tommen #6),Chloe Walsh,3.5,ebook,"May 27, 2025 → June 13, 2025",read,"Adult, contemporary, fiction, romance, sports",1,765
The Rose Bargain,Sasha Peyton Smith,2,ebook,"June 14, 2025 → June 19, 2025",read,"YA, fantasy, fiction, historical, romance",1,389
Power Play (D.C. Stars #2),Chelsea Curto,3,ebook,"June 19, 2025 → June 22, 2025",read,"Adult, contemporary, fiction, romance, sports",1,514
Grand Prix: An Illustrated History of Formula 1,Will Buxton,3,ebook,"June 23, 2025 → August 1, 2025",read,"historical, nonfiction, sports",1,240
Rose in Chains,Julie Soto,4.25,ebook,"July 14, 2025 → July 17, 2025",read,"Adult, dark, fantasy, fiction, romance",1,464
"Two Twisted Crowns (The Shepherd King, #1)",Rachel Gillig,4,ebook,"August 15, 2025 → August 20, 2025",read,"YA, fantasy, fiction, gothic, romance",1,437
Face Off (D.C. Stars #1),Chelsea Curto,3.5,ebook,"May 18, 2025 → May 21, 2025",read,"Adult, contemporary, fiction, romance, sports",1,450
Slap Shot (D.C. Stars #3),Chelsea Curto,2,ebook,"August 28, 2025 → September 3, 2025",read,"Adult, contemporary, fiction, romance, sports",1,530
Hat Trick (D.C. Stars #4),Chelsea Curto,,ebook,,,"Adult, contemporary, fiction, romance, sports",,506
Hotel Magnifique,Emily J. Taylor,2,Audiobook,"September 10, 2025 → September 19, 2025",read,"YA, fantasy, fiction, historical, mystery, romance",1,400
"Fetishized: A Reckoning with Yellow Fever, Feminism, and Beauty",Kaila Yu,,ebook,"September 9, 2025",currently-reading,"memoir, nonfiction",1,256
People We Meet on Vacation,Emily Henry,4,Audiobook,"October 22, 2025 → October 23, 2025",read,"Adult, contemporary, fiction, romance",1,364
Happy Place,Emily Henry,3,Audiobook,"October 24, 2025 → October 25, 2025",read,"Adult, contemporary, fiction, romance",1,400
Every Spiral of Fate (This Woven Kingdom #4),Tahereh Mafi,,,,,"YA, fantasy, fiction, romance",,480
A Study In Drowning,Ava Reid,2,Audiobook,"October 31, 2025 → November 2, 2025",read,"YA, fantasy, fiction, gothic, mystery, romance",1,378
The Ballad of Singbirds and Snakes (The Hunger Games #0),Suzanne Collins,,Audiobook,"November 5, 2025",currently-reading,"YA, dystopia, fantasy, fiction, romance, science fiction",1,541
